cod_mpio,municipio,departamento,idx_minero,idx_deforestacion,idx_fuego,riesgo_nivel,mineria_titulos,rucom_registros,anm_proyectos,presion_extractiva,formalizacion,brecha_formalizacion,alerta_informalidad
44001,RIOHACHA,LA GUAJIRA,0.6255,0.0,0.9123,Crítico,22,22,125,0.774,0.833,-0.059,False
73067,ATACO,TOLIMA,0.5313,0.0,0.3015,Medio,9,9,154,0.681,0.741,-0.06,False
68689,SAN VICENTE DE CHUCURÍ,SANTANDER,0.6879,0.0,0.3941,Alto,52,52,39,0.759,0.82,-0.061,False
86320,ORITO,PUTUMAYO,0.6224,0.6828,0.0,Crítico,22,22,90,0.742,0.807,-0.065,False
68655,SABANA DE TORRES,SANTANDER,0.6072,0.0,0.355,Alto,14,14,148,0.722,0.788,-0.066,False
73624,ROVIRA,TOLIMA,0.4986,0.0,0.2569,Medio,15,15,54,0.656,0.722,-0.066,False
20045,BECERRIL,CESAR,0.4025,0.0,0.7441,Alto,6,6,316,0.668,0.734,-0.066,False
44090,DIBULLA,LA GUAJIRA,0.5071,0.0,0.9279,Crítico,15,15,124,0.718,0.787,-0.069,False
41132,CAMPOALEGRE,HUILA,0.6,0.0,0.3616,Medio,13,13,175,0.721,0.79,-0.069,False
50573,PUERTO LÓPEZ,META,0.5517,0.0,0.6575,Alto,22,22,88,0.733,0.804,-0.071,False
05885,YALÍ,ANTIOQUIA,0.6858,0.0,0.0,Medio,3,3,270,0.596,0.671,-0.075,False
73270,FALAN,TOLIMA,0.4915,0.0,0.4046,Medio,12,12,103,0.673,0.748,-0.075,False
05264,ENTRERRÍOS,ANTIOQUIA,0.8074,0.0,0.0,Medio,118,118,0,0.616,0.696,-0.08,False
54810,TIBÚ,NORTE DE SANTANDER,0.6276,0.0,0.8618,Crítico,30,30,116,0.772,0.861,-0.089,False
17380,LA DORADA,CALDAS,0.6726,0.0,0.5043,Alto,20,20,233,0.766,0.859,-0.093,False
13688,SANTA ROSA DEL SUR,BOLÍVAR,0.6237,0.0,0.6359,Alto,20,20,206,0.759,0.852,-0.093,False
81794,TAME,ARAUCA,0.5753,0.0,0.3287,Alto,27,27,62,0.704,0.798,-0.094,False
20400,LA JAGUA DE IBIRICO,CESAR,0.4727,0.0,0.6983,Alto,9,9,607,0.696,0.79,-0.094,False
73268,ESPINAL,TOLIMA,0.7132,0.0,0.5216,Alto,61,61,77,0.781,0.875,-0.094,False
44035,ALBANIA,LA GUAJIRA,0.4165,0.0,0.7507,Alto,8,8,417,0.673,0.77,-0.097,False
44078,BARRANCAS,LA GUAJIRA,0.438,0.0,0.6119,Alto,8,8,563,0.673,0.773,-0.1,False
20238,EL COPEY,CESAR,0.6338,0.0,0.4136,Alto,36,36,74,0.741,0.843,-0.102,False
13473,MORALES,BOLÍVAR,0.5963,0.0,0.472,Crítico,20,20,163,0.732,0.835,-0.103,False
05854,VALDIVIA,ANTIOQUIA,0.6393,0.0,0.0,Alto,4,4,223,0.579,0.685,-0.106,False
73168,CHAPARRAL,TOLIMA,0.6485,0.0,0.4668,Alto,21,21,234,0.755,0.866,-0.111,False
13600,RÍO VIEJO,BOLÍVAR,0.6391,0.0,0.7077,Alto,31,31,170,0.773,0.885,-0.112,False
20228,CURUMANÍ,CESAR,0.7368,0.0,0.732,Crítico,71,71,118,0.805,0.917,-0.112,False
13810,TIQUISIO,BOLÍVAR,0.6056,0.0,0.6076,Alto,23,23,182,0.748,0.86,-0.112,False
19001,POPAYÁN,CAUCA,0.6541,0.0,0.3869,Crítico,23,23,198,0.746,0.867,-0.121,False
52001,PASTO,NARIÑO,0.6243,0.3489,0.0,Crítico,21,21,184,0.73,0.852,-0.122,False
20770,SAN MARTÍN,CESAR,0.6153,0.0,0.2952,Medio,28,28,101,0.715,0.839,-0.124,False
76147,CARTAGO,VALLE DEL CAUCA,0.608,0.0,0.2178,Medio,27,27,98,0.704,0.832,-0.128,False
13074,BARRANCO DE LOBA,BOLÍVAR,0.714,0.0,0.5152,Alto,45,45,170,0.781,0.915,-0.134,False
73001,IBAGUÉ,TOLIMA,0.6814,0.0,0.7031,Crítico,33,33,270,0.788,0.922,-0.134,False
27450,MEDIO SAN JUAN,CHOCÓ,0.6919,0.0,0.0,Medio,6,6,314,0.599,0.734,-0.135,False
68001,BUCARAMANGA,SANTANDER,0.5808,0.0,0.1076,Medio,22,22,109,0.686,0.821,-0.135,False
27580,RÍO IRÓ,CHOCÓ,0.6894,0.0,0.0,Medio,6,6,323,0.597,0.735,-0.138,False
73770,SUÁREZ,TOLIMA,0.5923,0.0,0.3018,Alto,27,27,114,0.708,0.846,-0.138,False
68307,GIRÓN,SANTANDER,0.8083,0.0,0.6851,Crítico,106,106,176,0.809,0.951,-0.142,False
20060,BOSCONIA,CESAR,0.6318,0.0,0.4528,Alto,35,35,132,0.745,0.887,-0.142,False
73275,FLANDES,TOLIMA,0.6896,0.0,0.2976,Crítico,53,53,100,0.747,0.889,-0.142,False
44378,HATONUEVO,LA GUAJIRA,0.5256,0.0,0.2044,Alto,17,17,151,0.666,0.811,-0.145,False
54680,SANTIAGO,NORTE DE SANTANDER,0.5987,0.0,0.3105,Medio,28,28,121,0.712,0.857,-0.145,False
68547,PIEDECUESTA,SANTANDER,0.5982,0.0,0.1449,Medio,29,29,96,0.695,0.841,-0.146,False
85010,AGUAZUL,CASANARE,0.7069,0.0,0.2226,Medio,58,58,93,0.743,0.89,-0.147,False
19142,CALOTO,CAUCA,0.6357,0.0,0.2292,Alto,27,27,161,0.718,0.866,-0.148,False
73319,GUAMO,TOLIMA,0.6336,0.0,0.3738,Alto,38,38,115,0.737,0.885,-0.148,False
47001,SANTA MARTA,MAGDALENA,0.5952,0.0,0.2485,Alto,20,20,200,0.701,0.851,-0.15,False
13001,CARTAGENA DE INDIAS,BOLÍVAR,0.6414,0.0,0.5318,Alto,40,40,176,0.758,0.911,-0.153,False
54720,SARDINATA,NORTE DE SANTANDER,0.7529,0.0,0.6553,Crítico,66,66,248,0.801,0.957,-0.156,False
76890,YOTOCO,VALLE DEL CAUCA,0.6282,0.0,0.1735,Alto,33,33,108,0.71,0.867,-0.157,False
15572,PUERTO BOYACÁ,BOYACÁ,0.713,0.0,0.3627,Crítico,45,45,184,0.764,0.923,-0.159,False
17486,NEIRA,CALDAS,0.6865,0.0,0.1069,Medio,29,29,192,0.729,0.889,-0.16,False
25317,GUACHETÁ,CUNDINAMARCA,0.7014,0.0,0.3423,Alto,55,55,135,0.755,0.916,-0.161,False
23466,MONTELÍBANO,CÓRDOBA,0.6158,0.0,0.4304,Crítico,30,30,218,0.736,0.899,-0.163,False
73200,COELLO,TOLIMA,0.7868,0.0,0.5801,Crítico,89,89,200,0.795,0.958,-0.163,False
15646,SAMACÁ,BOYACÁ,0.6859,0.0,0.2957,Alto,31,31,264,0.745,0.912,-0.167,False
