Nombre,Área_Oficial__Ha_,centroid_x,centroid_y,Categoría,Territorial
La Parcela No. 3 de la Parcelación La Josefina,11.70135112,-76.55556964,2.23815249,Reserva Natural de la Sociedad Civil, 
Farallones de Cali,196954.47056742,-76.87455185,3.38032592,Parque Nacional Natural,Territorial Pacifico
Parcela No. 15 La Palma Argelia Ullucos,7.81617858,-76.59033754,2.22204341,Reserva Natural de la Sociedad Civil, 
Los Colorados,1040.8801518,-75.10457312,9.94350555,Santuario de Fauna y Flora,Territorial Caribe
Primavera 2,1.78243311,-76.41585455,1.94039805,Reserva Natural de la Sociedad Civil, 
Parcela No. 20 Boca de Monte,3.75046859,-76.56089357,2.25022759,Reserva Natural de la Sociedad Civil, 
Los Flamencos,7052.40530869,-73.11943875,11.38534948,Santuario de Fauna y Flora,Territorial Caribe
Gorgona,60503.77116283,-78.20567581,2.97199268,Parque Nacional Natural,Territorial Pacifico
La Parcela No.  16 El Arrayán,16.65211012,-76.58719697,2.2182416,Reserva Natural de la Sociedad Civil, 
Las Palmas,1.67143128,-76.41484586,1.93871727,Reserva Natural de la Sociedad Civil, 
Malpelo,4815114.4339451,-80.98458333,4.13866222,Santuario de Fauna y Flora,Territorial Pacifico
Parcela No. 16 La Josefina,4.07434906,-76.55472121,2.23618025,Reserva Natural de la Sociedad Civil, 
La Paya,440125.14070187,-75.23328235,0.15497188,Parque Nacional Natural,Territorial Amazonia
Parcela No. 9 La Josefina,12.29202677,-76.56098068,2.23366358,Reserva Natural de la Sociedad Civil, 
Parcela No. 19 Brisas,2.63514086,-76.56206063,2.2507999,Reserva Natural de la Sociedad Civil, 
Las Hermosas - Gloria Valencia de Castaño,124828.37883632,-75.77898685,3.78516736,Parque Nacional Natural,Territorial Andes Occidentales
Los Laureles,1.89842103,-76.41724211,1.93998128,Reserva Natural de la Sociedad Civil, 
Las Orquídeas,28807.54073695,-76.26787604,6.57924989,Parque Nacional Natural,Territorial Andes Occidentales
Parcela No. 2 vereda La Palma,8.96099153,-76.53879021,2.22869627,Reserva Natural de la Sociedad Civil, 
Tamá,51036.67185667,-72.2256214,7.25861419,Parque Nacional Natural,Territorial Andes Nororientales
Parcela No. 12 Parcelación Las Brisas,4.50536719,-76.56164623,2.24736951,Reserva Natural de la Sociedad Civil, 
Los Katíos,78259.42907056,-77.18430793,7.81051629,Parque Nacional Natural,Territorial Pacifico
Parcela No. 14 El Ramal Parcelación La Josefina,16.39307284,-76.5526616,2.2330068,Reserva Natural de la Sociedad Civil, 
Sumapaz,210738.76434366,-74.13484964,3.90572273,Parque Nacional Natural,Territorial Orinoquia
La Parcela No. 8 Parcelación  Campo Bello,11.54800754,-76.54037009,2.22124907,Reserva Natural de la Sociedad Civil, 
Sierra Nevada de Santa Marta,573312.61514135,-73.61462923,10.84344264,Parque Nacional Natural,Territorial Caribe
La Esperanza,44.01572768,-76.4105879,1.85822084,Reserva Natural de la Sociedad Civil, 
Parcela No. 2 La Josefina,11.71799701,-76.55212229,2.23935909,Reserva Natural de la Sociedad Civil, 
El Palmerito,35.05811599,-76.33351605,1.78286537,Reserva Natural de la Sociedad Civil, 
El Recuerdo,23.62441801,-76.43327916,2.47030464,Reserva Natural de la Sociedad Civil, 
Serranía de los Yariguíes,59288.0816348,-73.45661471,6.56300552,Parque Nacional Natural,Territorial Andes Nororientales
El Mirador,10.09233731,-76.34324669,1.83896811,Reserva Natural de la Sociedad Civil, 
El Abejero,7.87127511,-76.51658244,2.39160233,Reserva Natural de la Sociedad Civil, 
Sierra de la Macarena,619553.26770203,-73.60307789,2.65503834,Parque Nacional Natural,Territorial Orinoquia
Macuira,24138.21346219,-71.33060485,12.14023583,Parque Nacional Natural,Territorial Caribe
Serranía de los Churumbelos  - Auka Wasi,97239.23765739,-76.35673345,1.29369373,Parque Nacional Natural,Territorial Amazonia
Sueños Verdes,18.32808619,-76.67247129,2.60205948,Reserva Natural de la Sociedad Civil, 
Munchique,47137.10692077,-77.00570664,2.69039182,Parque Nacional Natural,Territorial Pacifico
El Mirador 2,3.09533663,-76.34967159,1.83707531,Reserva Natural de la Sociedad Civil, 
Selva de Florencia,10020.11534805,-75.06846449,5.48599953,Parque Nacional Natural,Territorial Andes Occidentales
Altos De Pedro Palo,7.13016671,-74.38478405,4.69218859,Reserva Natural de la Sociedad Civil, 
