Nombre,Área_Oficial__Ha_,centroid_x,centroid_y,Categoría,Territorial
Bremen Lote 16 y la Rinconada Lote 15,472.97626381,-75.67528607,3.97444158,Reservas Forestales Protectoras Regionales, 
"San Cristobal Alto de la Motañuela, San Cristobal Alto de la Matañuela II, el Porvenir, Esperanza y Buenos Aires",118.72074474,-75.24592924,4.26310483,Reservas Forestales Protectoras Regionales, 
Esmeralda,124.83119784,-75.3380415,4.53598462,Reservas Forestales Protectoras Regionales, 
"Olla Grande, la Esmeralda y el Nahir",10.89573589,-75.01032354,4.75429793,Reservas Forestales Protectoras Regionales, 
"Puracé Porvenir las Violetas, Porvenir  I  Porvenir II",74.32839712,-75.02072678,4.72382535,Reservas Forestales Protectoras Regionales, 
"El Retiro, la Cascada, el Mantel la Mesa la Meseta y la Isla el Durazno",333.37998054,-75.15566125,4.95093227,Reservas Forestales Protectoras Regionales, 
El Raizal Mesalina y la Gironda el Silencio,111.32806323,-75.12440303,4.98588497,Reservas Forestales Protectoras Regionales, 
Divisoria Valle de Aburra Rio Cauca,28053.86837477,-75.67235496,6.2340868,Distritos Regionales de Manejo Integrado, 
Kirpas Pinilla la Cuerera,294.2154108,-73.59411115,4.12290324,Distritos de Conservación de Suelos, 
Reserva Natural Naturere La Abundancia,85.89290775,-74.7018076,6.38187688,Reserva Natural de la Sociedad Civil, 
El Rincón,102.53114805,-75.71783289,1.5526869,Reserva Natural de la Sociedad Civil, 
El Descanso,119.27144677,-72.82384459,3.9688812,Reserva Natural de la Sociedad Civil, 
Yacumadre,213.5382795,-75.11633931,5.76914661,Reserva Natural de la Sociedad Civil, 
Parque Ecologico Humedal Coroncoro,30.27640595,-73.60090071,4.14507627,Áreas de Recreación, 
Parque Ecologico Humedal Charco  Oasis,10.74791371,-73.61428885,4.12356729,Áreas de Recreación, 
Parque Ecologico Humedal Calatrava,7.08768154,-73.59849828,4.13655709,Áreas de Recreación, 
Parque Ecologico Humedal Caracoli,33.23258664,-73.63084104,4.08586389,Áreas de Recreación, 
Parque Ecologico Humedal Zuria,67.88032196,-73.62123647,4.06168511,Áreas de Recreación, 
Laguna de Lomalinda,810.27271471,-73.35617882,3.30511831,Parques Naturales Regionales, 
Laguna San Vicente,493.27317312,-73.17927314,3.01240273,Parques Naturales Regionales, 
Páramos y Bosques Altoandinos de Génova,8368.62899464,-75.68991183,4.17444165,Distritos Regionales de Manejo Integrado, 
"Ensenada de Rionegro, los Bajos Aledaños, las Ciénagas de Marimonda y el Salado",30685.7856994,-76.82647704,8.56721405,Distritos Regionales de Manejo Integrado, 
Bosques Andinos Húmedos el Rasgón,6593.33892853,-72.95053811,7.0572781,Parques Naturales Regionales, 
Cerro la Judía,3519.82560768,-73.02000519,7.09802861,Parques Naturales Regionales, 
Barbas Bremen,4907.72169109,-75.62123606,4.67582844,Distritos de Conservación de Suelos, 
Parque Ecológico Cerro Nutibara,29.311867,-75.58015551,6.23601418,Áreas de Recreación, 
Buenos Aires,97.06004253,-74.98579622,1.91763937,Reserva Natural de la Sociedad Civil, 
Río Rucio,600.95028682,-73.61691602,4.57155745,Reservas Forestales Protectoras Nacionales, 
Luriza,836.89615815,-75.02347644,10.74422424,Distritos Regionales de Manejo Integrado, 
Cuenca del Río Tame,1647.5162861,-71.92836512,6.39340381,Reservas Forestales Protectoras Nacionales, 
Ríos Tumaradocito y León,38999.76186611,-76.79027641,7.50849535,Reservas Forestales Protectoras Nacionales, 
Cuenca Hidrográfica de la Quebrada la Tablona,2680.15489079,-72.50404682,5.41534931,Reservas Forestales Protectoras Nacionales, 
Páramo del Duende,18126.69616433,-76.46399856,4.08763718,Parques Naturales Regionales, 
En el Territorio Colectivo del Consejo Comunitario de la Comunidad Negra de la Plata,6802.06773573,-77.17702928,4.08613712,Distritos Regionales de Manejo Integrado, 
Cuenca Alta del Caño Alonso,425.10495112,-73.68328562,8.64296106,Reservas Forestales Protectoras Nacionales, 
Cuenca del Río Cravo Sur,4735.93905806,-72.61143593,5.70244152,Reservas Forestales Protectoras Nacionales, 
El Hortigal,215.63602853,-73.57364146,5.13485184,Reservas Forestales Protectoras Nacionales, 
Cuenca Alta del Río Jirocasaca,358.14843904,-74.05142173,11.19640529,Reservas Forestales Protectoras Nacionales, 
Darién,61459.89878937,-77.29859736,8.32892861,Reservas Forestales Protectoras Nacionales, 
Cuenca Alta del Río Mocoa,37581.86670598,-76.76692551,1.25441119,Reservas Forestales Protectoras Nacionales, 
Páramo El Atravesado,2928.58327006,-73.78103473,4.29060715,Reservas Forestales Protectoras Nacionales, 
Cuchilla del Minero,9314.8155228,-74.12397142,5.96719959,Reservas Forestales Protectoras Nacionales, 
El Malmo,158.32448305,-73.41095928,5.50225914,Reservas Forestales Protectoras Nacionales, 
Cuenca Alta del Río Nembí,2472.01489718,-78.05682082,1.26312249,Reservas Forestales Protectoras Nacionales, 
Rogitama Biodiversidad,28.61115077,-73.45743477,5.79655329,Reserva Natural de la Sociedad Civil, 
La Sierpe,25273.74044201,-77.20646831,3.95704022,Parques Naturales Regionales, 
Enclave Subxerofitico de Atuncela,2334.37129055,-76.68558822,3.74018908,Distritos Regionales de Manejo Integrado, 
De la Cuenca Alta del Río  Quindío de Salento,29056.47612444,-75.53057929,4.60721609,Distritos Regionales de Manejo Integrado, 
El Vinculo,82.26285779,-76.29257235,3.83427823,Parques Naturales Regionales, 
Cuenca Alta del Río Satocá,4157.16347452,-71.98520732,6.83802346,Reservas Forestales Protectoras Nacionales, 
Cuentos de Agua,7.22262105,-75.47900562,4.9498064,Reserva Natural de la Sociedad Civil, 
Aguadulce,40.625628,-74.55055078,4.30064689,Reserva Natural de la Sociedad Civil, 
Reserva Covarachía,0.84937629,-74.15208998,4.88735129,Reserva Natural de la Sociedad Civil, 
De la Cuenca Hidrográfica de los Ríos Escalerete y San Cipriano,5555.72756682,-76.8585968,3.81883055,Reservas Forestales Protectoras Nacionales, 
Quebrada La Nona,607.4995089,-75.72439156,4.89478032,Reservas Forestales Protectoras Nacionales, 
Río Nare,8811.80355002,-75.49972293,6.1295203,Reservas Forestales Protectoras Nacionales, 
Cuchilla de Sucuncuca,2109.32296042,-73.21736363,5.17038559,Reservas Forestales Protectoras Nacionales, 
Cerro de Juaica,882.1230331,-74.14649956,4.88499842,Distritos Regionales de Manejo Integrado, 
Complejo Cenagoso de Zarate Malibú y Veladero,63984.6479797,-74.71549718,9.62926223,Distritos Regionales de Manejo Integrado, 
Del Humedal San Silvestre,69959.52081596,-73.67951893,7.03674979,Distritos Regionales de Manejo Integrado, 
Agualinda,326.62074288,-75.93685143,5.11979241,Distritos Regionales de Manejo Integrado, 
Sisavita,12125.50167446,-72.84448434,7.43459841,Parques Naturales Regionales, 
Reserva Natural Fundación Magara,91.97212531,-76.15806581,9.15705938,Reserva Natural de la Sociedad Civil, 
Granja Palenque,17.7415497,-74.94779392,5.40888732,Reserva Natural de la Sociedad Civil, 
Bosque Renace,361.5700904,-74.2851691,4.58259528,Reserva Natural de la Sociedad Civil, 
Cerro Gobia,271.89285649,-75.74419692,5.34649171,Áreas de Recreación, 
Alto del Rey,137.52082008,-75.9350194,4.94153255,Áreas de Recreación, 
Arrayanal,1192.47782824,-75.90176792,5.29343801,Distritos Regionales de Manejo Integrado, 
Serranía de los Yariguíes,418910.49028654,-73.53891642,6.60408926,Distritos Regionales de Manejo Integrado, 
Serranía de las Quinchas,14066.06647737,-74.18665413,5.98178249,Parques Naturales Regionales, 
Del Rio Minero y sus Zonas Aledañas,48427.41273339,-74.0231361,6.1135431,Distritos Regionales de Manejo Integrado, 
Montes de  Oca,11976.77490575,-72.41036158,11.13951665,Reservas Forestales Protectoras Regionales, 
Bucaramanga,4691.85976915,-73.07087114,7.09894468,Distritos Regionales de Manejo Integrado, 
Serranía de las Quinchas,21227.69580601,-74.25221032,5.90547706,Parques Naturales Regionales, 
Páramo de Rabanal,4529.97338545,-73.55700005,5.42790139,Parques Naturales Regionales, 
Brisas Del Diamante,275.9439042,-74.49586145,1.81324321,Reserva Natural de la Sociedad Civil, 
Alma Agroreserva Turística,50.66499764,-75.79051709,4.38780467,Reserva Natural de la Sociedad Civil, 
Serranía el Peligro,2426.63106409,-73.48949279,5.82622205,Parques Naturales Regionales, 
Unidad Biogeográfica de Siscuncí Oceta,49767.6345105,-72.77699734,5.60749796,Parques Naturales Regionales, 
Guacas Rosario,991.87175104,-75.55713113,5.03155325,Distritos de Conservación de Suelos, 
Cuchilla de Bellavista,1300.2875305,-74.92694594,5.33863749,Distritos Regionales de Manejo Integrado, 
Cerros Pionono y las Águilas,611.59841222,-73.91434727,4.89727332,Reservas Forestales Protectoras Regionales, 
Cuenca Alta de Los Ríos Salinero y Moquentiva,2922.74518831,-73.65065677,4.92357647,Reservas Forestales Protectoras Regionales, 
Cuenca Alta del Río Zaque,1869.46336971,-73.71167639,4.8534931,Reservas Forestales Protectoras Regionales, 
El Diamante,650.41730758,-75.3965921,5.24731747,Reservas Forestales Protectoras Regionales, 
Los Bosques de la Chec,4685.64064649,-75.39012118,4.99900022,Reservas Forestales Protectoras Regionales, 
Rio Subachoque y Pantano de Arce,4205.39742552,-74.14368878,5.0292189,Distritos Regionales de Manejo Integrado, 
Juaitoque,398.64423875,-73.74268131,5.25232517,Distritos Regionales de Manejo Integrado, 
Cuchilla el Chuscal,2246.84637917,-74.33091133,4.91461157,Distritos Regionales de Manejo Integrado, 
La Marina,168.74003491,-75.45576046,4.96428752,Reservas Forestales Protectoras Regionales, 
Cuchilla El Choque,1621.44153021,-73.61943701,5.14024978,Reservas Forestales Protectoras Regionales, 
Páramo de El Frailejonal,1794.44219498,-73.59202429,5.12625422,Reservas Forestales Protectoras Regionales, 
Sector Salto del Tequendama y Cerro Manjuí,10621.38145285,-74.36315447,4.70293821,Distritos Regionales de Manejo Integrado, 
Nacimiento Quebradas Honda y Calderitas,486.90188787,-74.00128286,5.11386574,Reservas Forestales Protectoras Regionales, 
"Nacimiento de las Quebradas los Tiestos, La Chorrera y Hoya Fría",645.97756784,-74.40656561,5.35334757,Distritos Regionales de Manejo Integrado, 
Laguna de Pantano Redondo y el Nacimiento Rio Susaguá,1351.32744836,-74.02639071,5.07366547,Reservas Forestales Protectoras Regionales, 
Pionono,721.15123748,-73.9265716,4.89134757,Reservas Forestales Protectoras Regionales, 
Nacimiento del Río Bogotá,1352.14631121,-73.541226,5.21954724,Reservas Forestales Protectoras Regionales, 
Reserva Natural Mesenia Paramillo La Anadía,138.90787014,-75.87322608,5.49945953,Reserva Natural de la Sociedad Civil, 
La Esmeralda,83.73212557,-74.61545499,1.91911523,Reserva Natural de la Sociedad Civil, 
Las Lauras,627.95059402,-75.64354451,8.27143957,Reserva Natural de la Sociedad Civil, 
El Robledal,398.57520037,-73.67425464,5.46425388,Reservas Forestales Protectoras Regionales, 
Planalto,93.22484831,-75.59379155,4.99186695,Reservas Forestales Protectoras Regionales, 
Páramo Rabanal,6628.81850558,-73.54406191,5.38878329,Distritos Regionales de Manejo Integrado, 
Torre Cuatro,309.76552812,-75.38003523,5.0467013,Reservas Forestales Protectoras Regionales, 
"Bahía de Cispatá, la Balsa, Tinajones y Sectores Aledaños del Delta Estuarino del Río Sinú",26463.66761856,-75.8791788,9.36674683,Distritos Regionales de Manejo Integrado, 
Complejo Cenagóso del Bajo Sinú,42004.74157319,-75.71463207,9.13128151,Distritos Regionales de Manejo Integrado, 
Páramo de Rabanal,2578.42560198,-73.61479492,5.37684121,Reservas Forestales Protectoras Regionales, 
Páramos de Telecom y Merchán,2104.51869509,-73.67007895,5.68062787,Reservas Forestales Protectoras Regionales, 
Sinifana,37.5000151,-76.2239145,4.88673321,Reserva Natural de la Sociedad Civil, 
Quebrada Paramillo y Queceros,249.22657629,-74.11005874,5.00426065,Reservas Forestales Protectoras Regionales, 
Futuras Generaciones de Sibaté I y II,143.28890959,-74.21078744,4.41980916,Reservas Forestales Protectoras Regionales, 
Páramo de Guerrero,1917.6168493,-74.01680618,5.1164187,Distritos Regionales de Manejo Integrado, 
Tibaitatá,577.87322586,-74.20541099,4.68072871,Distritos de Conservación de Suelos, 
Cuchilla de San Antonio y Laguna El Coco,13448.43283966,-74.55998302,5.55754144,Distritos Regionales de Manejo Integrado, 
Páramo de Guargua y Laguna Verde,12962.69343657,-73.97683964,5.22415134,Reservas Forestales Protectoras Regionales, 
Sitio Ramsar del Complejo de Humedales de Ayapel,145470.22475347,-75.03529466,8.23551491,Distritos Regionales de Manejo Integrado, 
Barbas  Bremen,4357.87716493,-75.63399564,4.72604196,Distritos de Conservación de Suelos, 
De Cuatro Microcuencas del Municipio de Inirida,76.3353015,-67.92515558,3.85686126,Áreas de Recreación, 
"De los Páramos de Guantiva y La Rusia, Bosques de Roble y sus Zonas aledañas",123392.70003605,-73.01324769,6.1686769,Distritos Regionales de Manejo Integrado, 
Cuchilla Del San Juan,29658.55425381,-75.92739461,5.31166262,Distritos Regionales de Manejo Integrado, 
La Nona,511.56077165,-75.72288193,4.89130959,Distritos Regionales de Manejo Integrado, 
Ríonegro,182.69332117,-76.04838116,5.20504022,Parques Naturales Regionales, 
Guásimo,1446.05381721,-75.84095737,4.89711801,Distritos Regionales de Manejo Integrado, 
Planes de San Rafael,510.25528132,-76.01317932,5.12124264,Distritos Regionales de Manejo Integrado, 
Ucumarí,3938.81907367,-75.53717975,4.72111359,Parques Naturales Regionales, 
Cristalina la Mesa,2250.7782666,-75.83598132,5.3307081,Distritos Regionales de Manejo Integrado, 
Santa Emilia,528.49834879,-75.91422812,5.21791739,Parques Naturales Regionales, 
Verdum,574.77984924,-76.03787142,5.0265081,Parques Naturales Regionales, 
Campoalegre,21116.03424102,-75.52746566,4.84020433,Distritos de Conservación de Suelos, 
Carauta,28931.87123531,-76.32989999,6.68634857,Reservas Forestales Protectoras Nacionales, 
Lago de Sochagota y la cuenca hidrográfica que lo alimenta,8123.81185737,-73.11054648,5.70251696,Distritos Regionales de Manejo Integrado, 
De Urrao,29862.56406361,-76.15796908,6.48328556,Reservas Forestales Protectoras Nacionales, 
Parque el Higuerón,21.10399594,-73.68953576,5.88448375,Reservas Forestales Protectoras Nacionales, 
Siberia Ceibas,27105.85927574,-75.08301438,2.79798477,Parques Naturales Regionales, 
Río San Francisco,2859.78787685,-74.56145751,5.05706641,Reservas Forestales Protectoras Nacionales, 
Del Nima,3120.93737466,-76.08970301,3.50813423,Parques Naturales Regionales, 
Serranía de Coraza y Montes de María,6853.45853412,-75.36194659,9.54435083,Reservas Forestales Protectoras Nacionales, 
La Planada,4174.7197056,-77.98318471,1.14284758,Reservas Forestales Protectoras Nacionales, 
La Albania,272.02982582,-76.38629432,3.96053378,Reservas Forestales Protectoras Regionales, 
Río Guabas,16104.87706551,-76.15349606,3.7685399,Reservas Forestales Protectoras Nacionales, 
La Albania y la Esmeralda,164.63967451,-76.1468608,3.52900832,Reservas Forestales Protectoras Regionales, 
Ríos Blanco y Negro,12386.90448699,-73.82874227,4.61057132,Reservas Forestales Protectoras Nacionales, 
Moscú,221.41453446,-70.4581225,6.9179676,Reserva Natural de la Sociedad Civil, 
Peñas del Aserradero,991.77158975,-74.38179155,4.88654351,Distritos Regionales de Manejo Integrado, 
El Trópico,53.62386273,-74.5581693,4.27313178,Reserva Natural de la Sociedad Civil, 
Cumbre De La Virgen,32.50435045,-75.70549116,5.74912668,Reserva Natural de la Sociedad Civil, 
Quebradas El Peñón y San Juan,569.34526417,-74.92387738,5.18142249,Reservas Forestales Protectoras Nacionales, 
Río Meléndez,1817.60289495,-76.61714427,3.39143563,Reservas Forestales Protectoras Nacionales, 
Río Cali,4328.6273822,-76.61531805,3.45697867,Reservas Forestales Protectoras Nacionales, 
El Cerro Dapa Carisucio,1079.8569007,-76.5545585,3.60874565,Reservas Forestales Protectoras Nacionales, 
Bosque Oriental de Bogotá,13123.43720827,-74.0371278,4.6120537,Reservas Forestales Protectoras Nacionales, 
De Bitaco,194.2965592,-76.59112558,3.55955955,Reservas Forestales Protectoras Regionales, 
Sierra el Peligro,1590.26320339,-73.5172546,5.80144654,Reservas Forestales Protectoras Nacionales, 
La Bolsa,2709.79056154,-73.73022119,4.71418903,Reservas Forestales Protectoras Nacionales, 
Ríos Chorrera y Concepción,4427.54012641,-73.76596353,4.74527879,Reservas Forestales Protectoras Nacionales, 
Laguna La Cocha Cerro Patascoy,50071.86960083,-77.13448459,1.02514697,Reservas Forestales Protectoras Nacionales, 
San Miguel de los Farallones,3376.67707923,-72.72112108,5.1365313,Parques Naturales Regionales, 
La Tablona,1659.80691671,-72.51321641,5.41422923,Parques Naturales Regionales, 
Cerro Quinini,1931.95412014,-74.50058797,4.32586511,Reservas Forestales Protectoras Nacionales, 
Metropolitano Cerro el Volador,103.68239083,-75.58178559,6.26702047,Parques Naturales Regionales, 
Cerro Vanguardia,197.46568937,-73.6244248,4.18538609,Reservas Forestales Protectoras Nacionales, 
Cuenca Alta del Caño Vanguardia,533.66825307,-73.60980666,4.19943796,Reservas Forestales Protectoras Nacionales, 
Quebrada Honda y Caños Parrado y Buque,1206.83102252,-73.66859926,4.15128487,Reservas Forestales Protectoras Nacionales, 
Las Cuencas Hidrográficas del Río Blanco y Quebrada Olivares,4945.72322247,-75.40552489,5.08413111,Reservas Forestales Protectoras Nacionales, 
Río Algodonal,8006.98559739,-73.20444494,7.90793411,Reservas Forestales Protectoras Nacionales, 
Río Tejo,2407.7128916,-73.34375208,8.15295337,Reservas Forestales Protectoras Nacionales, 
Páramo Grande,5017.44180046,-73.83330696,4.81759483,Reservas Forestales Protectoras Nacionales, 
La Tatacoa,35128.02323022,-75.12813727,3.24686164,Distritos Regionales de Manejo Integrado, 
Yotoco,1179.18443129,-76.42234638,3.86264192,Reservas Forestales Protectoras Nacionales, 
Guadalajara de Buga,8848.11142968,-76.16487519,3.86255861,Reservas Forestales Protectoras Nacionales, 
Cacique Candela,5.3674835,-75.03840509,6.19295325,Reserva Natural de la Sociedad Civil, 
Los Clavelitos,125.00564702,-73.33154528,4.70716969,Reserva Natural de la Sociedad Civil, 
Río Bobo y Buesaquillo,4685.78188994,-77.22744775,1.1428503,Reservas Forestales Protectoras Nacionales, 
Río Anchicayá,75306.01819752,-76.94540985,3.70444113,Reservas Forestales Protectoras Nacionales, 
Mistela,94.26644836,-74.32070501,4.41883222,Reservas Forestales Protectoras Nacionales, 
Corredor Biológico Guácharos Puracé,62685.44985246,-76.35696477,1.80587813,Parques Naturales Regionales, 
La Montaña Y La Palma,23.19364885,-76.45406031,2.44395519,Reserva Natural de la Sociedad Civil, 
Serrania del Pinche,7256.71817964,-77.37865221,2.29370061,Reservas Forestales Protectoras Regionales, 
Cerro Páramo de Miraflores Rigoberto Urriago,31629.75133664,-75.42641378,2.27907966,Parques Naturales Regionales, 
Volcán Azufral Chaitan,7528.16292556,-77.74119151,1.10307056,Parques Naturales Regionales, 
Páramo de Guargua y Laguna Verde,28182.98573944,-73.90200427,5.20424877,Distritos Regionales de Manejo Integrado, 
Hoya Hernando,144.87915718,-73.80446983,4.49468765,Reservas Forestales Protectoras Regionales, 
La Siberia,119.98853051,-73.59125103,4.56713854,Reservas Forestales Protectoras Regionales, 
Pozo Azul,106.69602807,-73.6010619,4.55907386,Reservas Forestales Protectoras Regionales, 
Ecosistema de Sabanas Abiertas y Arbustivas y Sistemas Asociados en el Municipio de Galeras,1575.54646927,-75.00087977,9.05104702,Distritos Regionales de Manejo Integrado, 
Palosqui,180.416637,-73.52257794,4.60583352,Reservas Forestales Protectoras Regionales, 
Tolima,231.90055564,-73.43997596,4.65428106,Reservas Forestales Protectoras Regionales, 
Carpatos,513.82952113,-73.76598275,4.80079969,Reservas Forestales Protectoras Regionales, 
El Espino Corcovado,233.35641375,-73.81033456,4.76959453,Reservas Forestales Protectoras Regionales, 
Santa Maria de las Lagunas,79.66830201,-73.86351012,4.77053898,Reservas Forestales Protectoras Regionales, 
Montebello,84.41513499,-73.73922219,4.66808063,Reservas Forestales Protectoras Regionales, 
Marruecos,98.58925402,-73.73015096,4.72971381,Reservas Forestales Protectoras Regionales, 
Del Sistema Manglarico del Sector de la Boca de Guacamaya,2955.23902715,-75.56297302,9.60648274,Parques Naturales Regionales, 
Ecosistema de Manglar y Lagunar  Ciénaga de la Caimanera,1818.61353723,-75.62986229,9.41571361,Distritos Regionales de Manejo Integrado, 
El Porvenir  el Guadual,3.8957921,-73.51846095,4.70481355,Reservas Forestales Protectoras Regionales, 
Serrania la Vieja,557.70775865,-76.59992306,1.70163908,Reservas Forestales Protectoras Regionales, 
La Vitilia la Palma,115.7732333,-73.5920856,4.58420677,Reservas Forestales Protectoras Regionales, 
Colombia,283.42830589,-73.68543721,4.59972457,Reservas Forestales Protectoras Regionales, 
El Desierto - El Patio Bonito,65.41145791,-73.6716797,4.74131283,Reservas Forestales Protectoras Regionales, 
El Manantial de Jagua,144.30036024,-73.36905611,4.65459329,Reservas Forestales Protectoras Regionales, 
Concepción,134.61500127,-73.54720947,4.77323427,Reservas Forestales Protectoras Regionales, 
La Sabana de las Delicias,159.36225838,-73.5410188,4.78683876,Reservas Forestales Protectoras Regionales, 
"Jerico, Libano y Sebastopol",325.77574073,-73.55136487,4.60184097,Reservas Forestales Protectoras Regionales, 
Jhonny Cay Regional Park,45.12584085,-81.68970172,12.59993745,Parques Naturales Regionales, 
The Peak Regional Park,10.51218877,-81.3721714,13.34844064,Parques Naturales Regionales, 
"Páramo de Cristales, Castillejo o Guachaneque",11572.18980342,-73.50306833,5.21201913,Distritos Regionales de Manejo Integrado, 
Los Rosales,1401.0743998,-75.20948846,10.65039145,Parques Naturales Regionales, 
Serranía de Perijá,42129.905896,-72.64763664,10.89153614,Distritos Regionales de Manejo Integrado, 
Musichi,1491.07058855,-72.53359691,11.75460154,Distritos Regionales de Manejo Integrado, 
Manantial de Cañaverales,1001.33656711,-72.82879112,10.74707683,Reservas Forestales Protectoras Regionales, 
Embalse el Peñol y Cuenca Alta del Río Guatapé,18384.06312158,-75.16169974,6.26437401,Distritos Regionales de Manejo Integrado, 
Punchiná,4305.51867232,-74.86471853,6.22680735,Reservas Forestales Protectoras Regionales, 
San Lorenzo,5112.73767763,-75.03213631,6.39474159,Reservas Forestales Protectoras Regionales, 
Humedal Maiciana Manacal,128.2439247,-72.0993543,4.25945706,Áreas de Recreación, 
Páramo de Santurbán,11695.39871467,-72.93594086,7.40305127,Parques Naturales Regionales, 
Santa Isabel,242.65985973,-75.70256482,8.57952845,Reserva Natural de la Sociedad Civil, 
Hato Venecia De Guanapalo,6500.97842713,-71.9140135,5.31893263,Reserva Natural de la Sociedad Civil, 
El Tigrillo,628.374562,-72.13566103,4.13969125,Reserva Natural de la Sociedad Civil, 
Tandem,0.9727735,-75.52037666,5.03983354,Reserva Natural de la Sociedad Civil, 
San Martín,12.95731495,-72.91873069,11.11234215,Reserva Natural de la Sociedad Civil, 
San Isidro,22.44136414,-76.05009734,3.98029613,Reserva Natural de la Sociedad Civil, 
Las Acacias,7.61606867,-76.84782715,2.47026691,Reserva Natural de la Sociedad Civil, 
La Chicueña,27.61989503,-76.89319699,2.48466004,Reserva Natural de la Sociedad Civil, 
La  Muralla,24.31885757,-76.20628161,2.01607536,Reserva Natural de la Sociedad Civil, 
Finca El Prado,17.56572963,-73.35922395,7.12996562,Reserva Natural de la Sociedad Civil, 
El Paraiso,6.08683675,-75.58377539,4.61702515,Reserva Natural de la Sociedad Civil, 
Los Arrayanes,5.11199275,-76.53117486,2.39470081,Reserva Natural de la Sociedad Civil, 
Bioparque Wakatá,59.42493247,-73.96668496,4.95068362,Reserva Natural de la Sociedad Civil, 
Hacienda Sabaneta,137.44883386,-74.30443983,4.53074368,Reserva Natural de la Sociedad Civil, 
Las Nieves El Guadual,8.85241313,-76.27961474,4.54690549,Reserva Natural de la Sociedad Civil, 
La Bramadora,3993.40449174,-71.7893975,5.15952822,Reserva Natural de la Sociedad Civil, 
La Travesada,4095.08236191,-71.76691139,5.13423822,Reserva Natural de la Sociedad Civil, 
Betania Del Lagunazo,842.96352449,-70.75233781,5.39763654,Reserva Natural de la Sociedad Civil, 
El Lagunazo,842.90712505,-70.78637463,5.35583829,Reserva Natural de la Sociedad Civil, 
Algarrobo Del Lagunazo,842.86238668,-70.74339338,5.37488934,Reserva Natural de la Sociedad Civil, 
Quinto Patio del Lagunazo,842.65772301,-70.74861786,5.34481157,Reserva Natural de la Sociedad Civil, 
Los Matapalos del Lagunazo,842.9369987,-70.76839675,5.37722351,Reserva Natural de la Sociedad Civil, 
Tarcara,726.93998992,-75.39821379,5.51183436,Reservas Forestales Protectoras Regionales, 
El Meandro o Madrevieja de Guarinocito,83.73985134,-74.72556843,5.3338208,Distritos Regionales de Manejo Integrado, 
Cuchilla de Peñas Blancas y del Subia,5886.13309606,-74.41628679,4.47787616,Distritos Regionales de Manejo Integrado, 
Bellavista Porvenir,166.45993339,-75.43803158,2.41949074,Reserva Natural de la Sociedad Civil, 
La Linda,197.25498658,-75.10354154,5.39944898,Reservas Forestales Protectoras Regionales, 
El Popal,230.88940255,-75.19428172,5.36751409,Reservas Forestales Protectoras Regionales, 
Laguna de Tenasuca Pedro Palo,124.34669484,-74.38697663,4.68751167,Reservas Forestales Protectoras Regionales, 
Sabinas,184.59239634,-75.39824443,5.02956624,Reservas Forestales Protectoras Regionales, 
Nueva Esperanza,15.78402639,-75.16942315,9.93068785,Reserva Natural de la Sociedad Civil, 
El Berlín,72.31830459,-75.56697325,1.73056074,Reserva Natural de la Sociedad Civil, 
Laguna de San Diego,757.10215436,-74.95295796,5.65246119,Distritos Regionales de Manejo Integrado, 
Corales de Profundidad,142348.06533713,-76.14963127,9.9231761,Parque Nacional Natural,Territorial Caribe
El Campín,418.75154691,-70.64154922,5.44381685,Reserva Natural de la Sociedad Civil, 
San Isidro,0.7531495,-77.40625391,1.15858077,Reserva Natural de la Sociedad Civil, 
Limonal,1626.29620896,-70.89107903,5.37803895,Reserva Natural de la Sociedad Civil, 
La Sonrisa,114.59048162,-70.86497349,5.3769147,Reserva Natural de la Sociedad Civil, 
Carrisal,22.30331509,-73.89663734,4.93730193,Reserva Natural de la Sociedad Civil, 
Rio  Amaime,26137.99004521,-76.05845216,3.63133591,Reservas Forestales Protectoras Nacionales, 
Alto del Nudo,2800.49696519,-75.67903091,4.87600797,Distritos de Conservación de Suelos, 
La Marcada,1872.63633226,-75.61534851,4.82901383,Distritos de Conservación de Suelos, 
Monaco,32.11896945,-75.70179706,1.55510387,Reserva Natural de la Sociedad Civil, 
Rios Zabaletas y Cerrito,6641.05219259,-76.16854944,3.67228225,Reservas Forestales Protectoras Nacionales, 
De Venus - Río Morales,1992.61367287,-76.06169684,4.01694294,Reservas Forestales Protectoras Nacionales, 
Río Dagua,8973.67834951,-76.6492335,3.81635755,Reservas Forestales Protectoras Nacionales, 
Lago Azul los Manatìes,31074.00170065,-77.01297258,8.06610113,Distritos Regionales de Manejo Integrado, 
Aguas Calientes,627.96076825,-73.092273,4.59085343,Reserva Natural de la Sociedad Civil, 
de la Playona y la Loma de Caleta,9342.92478666,-77.21794672,8.42203614,Distritos Regionales de Manejo Integrado, 
La Macarena,20.01989016,-77.21686095,1.13448313,Reserva Natural de la Sociedad Civil, 
Los Ceibotes,303.70186645,-73.41510056,10.39154937,Reservas Forestales Protectoras Regionales, 
Los Besotes,3108.88710909,-73.27145776,10.57505124,Parques Naturales Regionales, 
Bañaderos  Cuenca Alta del Río Camarones,10794.97993338,-72.85971949,11.09862634,Distritos Regionales de Manejo Integrado, 
Pan de Azucar el Consuelo,28898.70211992,-72.95601699,6.06932776,Parques Naturales Regionales, 
Conjunto De Reservas Naturales De Sumicol S.A. (Lusitania),20.18441115,-75.28663955,5.88523284,Reserva Natural de la Sociedad Civil, 
