cod_mpio,municipio,departamento,ha_quemada_dnbr,periodo_antes,periodo_despues,nubes_max_pct,umbral_dnbr,procesado
99773,CUMARIBO,VICHADA,42896.0,2026-05-01/2026-06-30,2026-08-01/2026-08-25,40,0.27,2026-08-24
50568,PUERTO GAITÁN,META,59502.2,2026-05-01/2026-06-30,2026-08-01/2026-08-25,40,0.27,2026-08-25
99524,LA PRIMAVERA,VICHADA,53175.4,2026-05-01/2026-06-30,2026-08-01/2026-08-25,40,0.27,2026-08-25
73200,COELLO,TOLIMA,4033.6,2026-05-01/2026-06-30,2026-08-01/2026-08-25,40,0.27,2026-08-25
