cod_mpio,municipio,departamento,focos_7d,frp_total,idx_fuego,ultima_fecha
5858,VEGACHÍ,ANTIOQUIA,4,60.4,0.5717,2026-07-17
5847,URRAO,ANTIOQUIA,5,58.03,0.5662,2026-07-17
17662,SAMANÁ,CALDAS,4,57.46,0.5649,2026-07-16
19130,CAJIBÍO,CAUCA,3,57.13,0.5641,2026-07-15
15810,TIPACOQUE,BOYACÁ,7,55.99,0.5613,2026-07-17
44098,DISTRACCIÓN,LA GUAJIRA,8,54.18,0.5569,2026-07-22
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,5,53.21,0.5544,2026-07-18
76563,PRADERA,VALLE DEL CAUCA,8,52.17,0.5517,2026-07-15
5756,SONSÓN,ANTIOQUIA,3,50.24,0.5466,2026-07-17
52378,LA CRUZ,NARIÑO,4,49.7,0.5451,2026-07-21
13212,CÓRDOBA,BOLÍVAR,7,48.17,0.5408,2026-07-18
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,8,47.51,0.539,2026-07-21
44855,URUMITA,LA GUAJIRA,10,46.94,0.5373,2026-07-18
5113,BURITICÁ,ANTIOQUIA,1,46.14,0.535,2026-07-17
13001,CARTAGENA DE INDIAS,BOLÍVAR,18,45.08,0.5318,2026-07-22
47030,ALGARROBO,MAGDALENA,7,42.68,0.5244,2026-07-16
76248,EL CERRITO,VALLE DEL CAUCA,3,42.23,0.523,2026-07-15
73268,ESPINAL,TOLIMA,3,41.81,0.5216,2026-07-22
13074,BARRANCO DE LOBA,BOLÍVAR,5,39.88,0.5152,2026-07-17
5031,AMALFI,ANTIOQUIA,8,39.73,0.5147,2026-07-17
13673,SANTA CATALINA,BOLÍVAR,4,37.98,0.5086,2026-07-18
17380,LA DORADA,CALDAS,1,36.79,0.5043,2026-07-17
41016,AIPE,HUILA,6,36.13,0.5019,2026-07-21
15097,BOAVITA,BOYACÁ,6,35.35,0.4989,2026-07-17
99624,SANTA ROSALÍA,VICHADA,5,33.09,0.49,2026-07-20
5660,SAN LUIS,ANTIOQUIA,5,31.93,0.4852,2026-07-17
20383,LA GLORIA,CESAR,9,31.67,0.4841,2026-07-22
5038,ANGOSTURA,ANTIOQUIA,4,31.49,0.4833,2026-07-17
19256,EL TAMBO,CAUCA,7,31.14,0.4818,2026-07-21
52786,TAMINANGO,NARIÑO,3,30.97,0.4811,2026-07-15
47318,GUAMAL,MAGDALENA,8,30.07,0.4771,2026-07-21
15533,PAYA,BOYACÁ,3,29.79,0.4759,2026-07-17
13473,MORALES,BOLÍVAR,7,28.94,0.472,2026-07-19
85125,HATO COROZAL,CASANARE,4,28.81,0.4714,2026-07-17
52233,CUMBITARA,NARIÑO,5,28.67,0.4707,2026-07-16
54261,EL ZULIA,NORTE DE SANTANDER,14,28.64,0.4706,2026-07-22
73168,CHAPARRAL,TOLIMA,3,27.85,0.4668,2026-07-15
68101,BOLÍVAR,SANTANDER,7,27.33,0.4643,2026-07-18
76670,SAN PEDRO,VALLE DEL CAUCA,1,27.3,0.4641,2026-07-17
5686,SANTA ROSA DE OSOS,ANTIOQUIA,1,26.71,0.4612,2026-07-17
70230,CHALÁN,SUCRE,3,26.2,0.4586,2026-07-18
13052,ARJONA,BOLÍVAR,4,26.13,0.4583,2026-07-16
68081,BARRANCABERMEJA,SANTANDER,5,25.7,0.4561,2026-07-22
13873,VILLANUEVA,BOLÍVAR,3,25.65,0.4558,2026-07-17
5055,ARGELIA,ANTIOQUIA,3,25.23,0.4536,2026-07-17
5093,BETULIA,ANTIOQUIA,2,25.12,0.453,2026-07-18
20060,BOSCONIA,CESAR,5,25.07,0.4528,2026-07-21
5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,4,23.96,0.4467,2026-07-17
17513,PÁCORA,CALDAS,3,23.87,0.4462,2026-07-18
73148,CARMEN DE APICALÁ,TOLIMA,2,23.86,0.4462,2026-07-16
73217,COYAIMA,TOLIMA,5,23.42,0.4437,2026-07-21
5284,FRONTINO,ANTIOQUIA,5,22.86,0.4405,2026-07-18
13062,ARROYOHONDO,BOLÍVAR,2,22.64,0.4392,2026-07-17
19050,ARGELIA,CAUCA,3,22.52,0.4385,2026-07-21
13744,SIMITÍ,BOLÍVAR,8,22.48,0.4382,2026-07-18
5790,TARAZÁ,ANTIOQUIA,3,21.57,0.4327,2026-07-16
23466,MONTELÍBANO,CÓRDOBA,1,21.19,0.4304,2026-07-17
41001,NEIVA,HUILA,3,20.97,0.429,2026-07-15
5425,MACEO,ANTIOQUIA,1,20.85,0.4282,2026-07-16
13580,REGIDOR,BOLÍVAR,8,20.74,0.4275,2026-07-17
70204,COLOSÓ,SUCRE,3,20.6,0.4266,2026-07-17
13650,SAN FERNANDO,BOLÍVAR,4,20.46,0.4257,2026-07-18
5483,NARIÑO,ANTIOQUIA,3,20.42,0.4255,2026-07-18
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,7,20.36,0.4251,2026-07-18
70235,GALERAS,SUCRE,1,19.94,0.4223,2026-07-16
20295,GAMARRA,CESAR,3,19.2,0.4173,2026-07-17
13222,CLEMENCIA,BOLÍVAR,2,19.05,0.4163,2026-07-18
5887,YARUMAL,ANTIOQUIA,3,18.99,0.4159,2026-07-17
44874,VILLANUEVA,LA GUAJIRA,1,18.95,0.4156,2026-07-22
20238,EL COPEY,CESAR,3,18.67,0.4136,2026-07-17
73675,SAN ANTONIO,TOLIMA,3,17.81,0.4074,2026-07-20
25320,GUADUAS,CUNDINAMARCA,1,17.72,0.4068,2026-07-17
13670,SAN PABLO,BOLÍVAR,3,17.44,0.4047,2026-07-17
73270,FALAN,TOLIMA,4,17.43,0.4046,2026-07-17
13248,EL GUAMO,BOLÍVAR,4,16.53,0.3976,2026-07-17
47460,NUEVA GRANADA,MAGDALENA,6,16.2,0.395,2026-07-17
73226,CUNDAY,TOLIMA,3,16.19,0.3949,2026-07-21
13188,CICUCO,BOLÍVAR,3,16.17,0.3948,2026-07-16
68689,SAN VICENTE DE CHUCURÍ,SANTANDER,3,16.09,0.3941,2026-07-20
19137,CALDONO,CAUCA,3,15.49,0.3892,2026-07-16
19001,POPAYÁN,CAUCA,1,15.23,0.3869,2026-07-15
25123,CACHIPAY,CUNDINAMARCA,1,15.03,0.3852,2026-07-15
47703,SAN ZENÓN,MAGDALENA,4,14.05,0.3765,2026-07-17
8634,SABANAGRANDE,ATLÁNTICO,1,13.83,0.3744,2026-07-17
73319,GUAMO,TOLIMA,3,13.76,0.3738,2026-07-21
47960,ZAPAYÁN,MAGDALENA,3,13.52,0.3715,2026-07-17
13030,ALTOS DEL ROSARIO,BOLÍVAR,5,13.16,0.368,2026-07-17
19532,PATÍA,CAUCA,3,13.11,0.3675,2026-07-15
5154,CAUCASIA,ANTIOQUIA,2,13.02,0.3666,2026-07-18
5234,DABEIBA,ANTIOQUIA,1,12.96,0.366,2026-07-16
8421,LURUACO,ATLÁNTICO,3,12.95,0.3659,2026-07-16
15572,PUERTO BOYACÁ,BOYACÁ,3,12.63,0.3627,2026-07-18
41132,CAMPOALEGRE,HUILA,3,12.52,0.3616,2026-07-21
19517,PÁEZ,CAUCA,2,12.17,0.3579,2026-07-21
70001,SINCELEJO,SUCRE,2,11.96,0.3557,2026-07-16
68655,SABANA DE TORRES,SANTANDER,3,11.89,0.355,2026-07-17
5040,ANORÍ,ANTIOQUIA,2,11.83,0.3543,2026-07-17
13683,SANTA ROSA,BOLÍVAR,3,11.64,0.3522,2026-07-17
68255,EL PLAYÓN,SANTANDER,3,11.63,0.3521,2026-07-17
47053,ARACATACA,MAGDALENA,2,11.54,0.3511,2026-07-18
70523,PALMITO,SUCRE,1,11.53,0.351,2026-07-15
54109,BUCARASICA,NORTE DE SANTANDER,3,11.49,0.3506,2026-07-16
19100,BOLÍVAR,CAUCA,2,11.47,0.3504,2026-07-17
52687,SAN LORENZO,NARIÑO,4,11.44,0.35,2026-07-16
68464,MOGOTES,SANTANDER,2,11.39,0.3495,2026-07-18
19110,BUENOS AIRES,CAUCA,1,11.35,0.349,2026-07-15
23079,BUENAVISTA,CÓRDOBA,1,11.21,0.3474,2026-07-15
68745,SIMACOTA,SANTANDER,4,11.04,0.3455,2026-07-20
13458,MONTECRISTO,BOLÍVAR,1,11.03,0.3454,2026-07-17
70742,SAN LUIS DE SINCÉ,SUCRE,4,10.99,0.3449,2026-07-18
8638,SABANALARGA,ATLÁNTICO,2,10.84,0.3432,2026-07-18
25317,GUACHETÁ,CUNDINAMARCA,8,10.77,0.3423,2026-07-22
47058,ARIGUANÍ,MAGDALENA,3,10.62,0.3406,2026-07-17
44279,FONSECA,LA GUAJIRA,2,10.29,0.3366,2026-07-21
81794,TAME,ARAUCA,3,9.67,0.3287,2026-07-21
47692,SAN SEBASTIÁN DE BUENAVISTA,MAGDALENA,5,9.65,0.3285,2026-07-17
8832,TUBARÁ,ATLÁNTICO,1,9.21,0.3226,2026-07-15
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,1,9.04,0.3203,2026-07-20
5543,PEQUE,ANTIOQUIA,2,8.98,0.3194,2026-07-18
68500,OIBA,SANTANDER,1,8.6,0.314,2026-07-17
70771,SUCRE,SUCRE,2,8.41,0.3113,2026-07-16
54680,SANTIAGO,NORTE DE SANTANDER,1,8.36,0.3105,2026-07-17
