cod_mpio,municipio,departamento,lat,lon,mineria_titulos,mineria_minerales,mineria_volumen,mineria_regalias,es_pdet,deforestacion_ha,agua_ica_medio,agua_estaciones,runap_areas,runap_hectareas,idx_minero,idx_deforestacion,idx_hidrico,idx_sensibilidad,riesgo_score,riesgo_nivel,hidrico_sin_dato
05172,CHIGORODÓ,ANTIOQUIA,7.666147,-76.681531,7,3,1400.0,0.0,1,0,,0,0,0,0.3786,0.0,0.0,0.25,0.1575,Bajo,1
05190,CISNEROS,ANTIOQUIA,6.537829,-75.087047,8,4,26973.8,420.0,0,0,,0,0,0,0.6053,0.0,0.0,0.0,0.2119,Medio,1
05197,COCORNÁ,ANTIOQUIA,6.058295,-75.185483,5,2,529.5,995.0,0,0,,0,1,5319.9,0.317,0.0,0.0,0.5485,0.1658,Bajo,1
05206,CONCEPCIÓN,ANTIOQUIA,6.394348,-75.257587,1,1,810.0,0.0,0,0,,0,1,1185.0,0.1746,0.0,0.0,0.4525,0.1064,Bajo,1
05209,CONCORDIA,ANTIOQUIA,6.045738,-75.908448,0,0,0,0,0,0,0.75,1,0,0,0.0,0.0,0.25,0.0,0.0625,Bajo,0
05212,COPACABANA,ANTIOQUIA,6.348557,-75.509384,20,5,5076.5,209.0,0,0,,0,2,6883.8,0.551,0.0,0.0,0.5649,0.2493,Medio,1
05234,DABEIBA,ANTIOQUIA,6.998112,-76.261614,10,4,3998.9,1199.0,1,0,,0,0,0,0.4575,0.0,0.0,0.25,0.1851,Bajo,1
05237,DONMATÍAS,ANTIOQUIA,6.485603,-75.39263,17,5,7421.7,1686.0,0,0,,0,0,0,0.5467,0.0,0.0,0.0,0.1913,Medio,1
05240,EBÉJICO,ANTIOQUIA,6.325615,-75.766413,1,1,687.7,739.0,0,0,,0,0,0,0.167,0.0,0.0,0.0,0.0585,Bajo,1
05250,EL BAGRE,ANTIOQUIA,7.5975,-74.799097,23,5,1432.9,0.0,1,0,,0,0,0,0.5467,0.0,0.0,0.25,0.2163,Medio,1
05264,ENTRERRÍOS,ANTIOQUIA,6.566273,-75.517685,118,1,0,0,0,0,,0,0,0,0.8074,0.0,0.0,0.0,0.2826,Alto,1
05266,ENVIGADO,ANTIOQUIA,6.166695,-75.582192,1,1,406.0,1774.0,0,0,,0,0,0,0.1483,0.0,0.0,0.0,0.0519,Bajo,1
05282,FREDONIA,ANTIOQUIA,5.928039,-75.675072,14,7,5167.8,247.0,0,0,,0,3,1242.7,0.5075,0.0,0.0,0.4555,0.2232,Medio,1
05284,FRONTINO,ANTIOQUIA,6.776066,-76.130765,4,4,25925.9,3941.0,0,0,,0,2,30377.0,0.5798,0.0,0.0,0.6598,0.2689,Alto,1
05306,GIRALDO,ANTIOQUIA,6.680808,-75.952158,3,1,0,0,0,0,,0,0,0,0.2342,0.0,0.0,0.0,0.082,Bajo,1
05308,GIRARDOTA,ANTIOQUIA,6.379472,-75.444238,18,7,21134.9,4043.0,0,0,,0,0,0,0.6238,0.0,0.0,0.0,0.2183,Medio,1
05310,GÓMEZ PLATA,ANTIOQUIA,6.683269,-75.220018,15,4,35375.3,3320.0,0,0,,0,7,277.4,0.6655,0.0,0.0,0.3599,0.2689,Alto,1
05313,GRANADA,ANTIOQUIA,6.142892,-75.184446,1,1,0,0,0,0,,0,3,39.2,0.1171,0.0,0.0,0.2361,0.0646,Bajo,1
05315,GUADALUPE,ANTIOQUIA,6.815069,-75.239862,10,2,11524.3,0.0,0,0,,0,0,0,0.5262,0.0,0.0,0.0,0.1842,Bajo,1
