cod_mpio,municipio,departamento,lat,lon,mineria_titulos,mineria_minerales,mineria_volumen,mineria_regalias,es_pdet,deforestacion_ha,agua_ica_medio,agua_estaciones,runap_areas,runap_hectareas
05318,GUARNE,ANTIOQUIA,6.27787,-75.441612,10,2,543.9,0.0,0,0,,0,5,12.2
05321,GUATAPÉ,ANTIOQUIA,6.232461,-75.160041,0,0,0,0,0,0,,0,6,18719.8
05347,HELICONIA,ANTIOQUIA,6.206757,-75.734322,4,3,3657.4,2775.0,0,0,,0,1,28053.9
05353,HISPANIA,ANTIOQUIA,5.799461,-75.906587,0,0,0,0,0,0,,0,1,3034.1
05360,ITAGÜÍ,ANTIOQUIA,6.175079,-75.612056,3,2,305.6,0.0,0,0,,0,1,55.6
05361,ITUANGO,ANTIOQUIA,7.171629,-75.764673,0,0,4390.0,1323.0,1,0,,0,1,355.9
05364,JARDÍN,ANTIOQUIA,5.597542,-75.818982,0,0,2370.8,0.0,0,0,,0,13,29605.8
05368,JERICÓ,ANTIOQUIA,5.789748,-75.785499,0,0,0,0,0,0,,0,2,4189.5
05376,LA CEJA,ANTIOQUIA,6.028062,-75.429433,10,3,878.1,0.0,0,0,,0,2,478.1
05380,LA ESTRELLA,ANTIOQUIA,6.145238,-75.637708,4,3,0.2,424.0,0,0,,0,1,21.5
05390,LA PINTADA,ANTIOQUIA,5.743808,-75.60781,14,5,32008.4,715.0,0,0,0.63,2,6,539.1
05400,LA UNIÓN,ANTIOQUIA,5.973845,-75.360874,16,3,1993.8,546.0,0,0,,0,4,30120.5
05411,LIBORINA,ANTIOQUIA,6.677316,-75.812838,0,0,1033.6,0.0,0,0,,0,0,0
05425,MACEO,ANTIOQUIA,6.552116,-74.78716,13,9,8557.7,2187.0,0,0,,0,2,8206.3
05440,MARINILLA,ANTIOQUIA,6.173995,-75.339345,1,1,0.0,0.0,0,0,0.635,2,0,0
05467,MONTEBELLO,ANTIOQUIA,5.946313,-75.523455,5,3,3163.2,0.0,0,0,,0,3,154.9
05475,MURINDÓ,ANTIOQUIA,6.97771,-76.817485,0,0,0,0,1,0,,0,0,0
05480,MUTATÁ,ANTIOQUIA,7.242875,-76.435875,9,4,28681.0,1692.0,1,0,,0,2,503993.4
05483,NARIÑO,ANTIOQUIA,5.610777,-75.176262,12,6,5689.1,987.0,0,0,,0,2,40670.3
05490,NECOCLÍ,ANTIOQUIA,8.434526,-76.787271,0,0,0.0,0.0,1,0,,0,2,30690.6
05495,NECHÍ,ANTIOQUIA,8.094129,-74.77647,18,5,22480.2,0.0,1,0,0.75,2,2,25090.2
05501,OLAYA,ANTIOQUIA,6.626492,-75.811773,0,0,782.9,256.0,0,0,,0,0,0
05541,PEÑOL,ANTIOQUIA,6.219349,-75.242693,0,0,244.3,0.0,0,0,,0,0,0
05543,PEQUE,ANTIOQUIA,7.021029,-75.910357,0,0,0,0,0,0,,0,1,20419.3
05576,PUEBLORRICO,ANTIOQUIA,5.79158,-75.839903,0,0,0,0,0,0,,0,0,0
05579,PUERTO BERRÍO,ANTIOQUIA,6.487028,-74.410016,32,9,17299.7,400.0,0,0,,0,4,12710.9
05585,PUERTO NARE,ANTIOQUIA,6.186025,-74.583012,18,3,43992.4,13080.0,0,0,,0,0,0
05591,PUERTO TRIUNFO,ANTIOQUIA,5.871318,-74.64119,43,12,629.9,0.0,0,0,0.83,1,1,158.1
05604,REMEDIOS,ANTIOQUIA,7.029424,-74.698135,161,29,7925.9,539.0,1,0,,0,0,0
05607,RETIRO,ANTIOQUIA,6.062454,-75.501301,1,1,7739.1,750.0,0,0,,0,3,17166.7
05615,RIONEGRO,ANTIOQUIA,6.147148,-75.377316,15,7,4904.5,0.0,0,0,0.86,2,1,64.8
05628,SABANALARGA,ANTIOQUIA,6.850028,-75.816645,0,0,23800.5,885.0,0,0,,0,0,0
05631,SABANETA,ANTIOQUIA,6.149903,-75.615479,0,0,0,0,0,0,,0,0,0
05642,SALGAR,ANTIOQUIA,5.964198,-75.976807,2,2,3583.9,0.0,0,0,,0,2,8895.7
05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,6.916676,-75.674564,0,0,0,0,0,0,,0,1,460.9
05649,SAN CARLOS,ANTIOQUIA,6.187746,-74.988097,20,10,11984.0,1677.0,0,0,,0,7,17060.7
05652,SAN FRANCISCO,ANTIOQUIA,5.963476,-75.101562,9,3,4253.4,0.0,0,0,,0,3,76.0
05656,SAN JERÓNIMO,ANTIOQUIA,6.44809,-75.726975,4,2,764.9,0.0,0,0,,0,0,0
05658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,6.85009,-75.683352,0,0,0,0,0,0,,0,3,30.6
05659,SAN JUAN DE URABÁ,ANTIOQUIA,8.758964,-76.52857,2,2,32.6,171.0,0,0,,0,0,0
05660,SAN LUIS,ANTIOQUIA,6.043017,-74.993619,16,6,21060.8,3870.0,0,0,,0,5,23487.7
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,6.46012,-75.556743,2,1,2365.9,550.0,0,0,,0,1,2.8
05665,SAN PEDRO DE URABÁ,ANTIOQUIA,8.276884,-76.380567,0,0,0,0,1,0,,0,1,1625.4
05667,SAN RAFAEL,ANTIOQUIA,6.293759,-75.02849,0,0,13062.6,367.0,0,0,,0,12,6954.8
05670,SAN ROQUE,ANTIOQUIA,6.485939,-75.019109,1,1,19781.5,1128.0,0,0,,0,2,5115.7
05674,SAN VICENTE FERRER,ANTIOQUIA,6.282164,-75.332616,7,4,905.3,981.0,0,0,,0,5,22.4
05679,SANTA BÁRBARA,ANTIOQUIA,5.875527,-75.567351,1,1,4410.9,0.0,0,0,,0,0,0
05686,SANTA ROSA DE OSOS,ANTIOQUIA,6.643366,-75.460723,109,3,37923.8,2013.0,0,0,,0,0,0
05690,SANTO DOMINGO,ANTIOQUIA,6.473032,-75.164903,19,8,13291.0,2499.0,0,0,,0,4,46.0
05697,EL SANTUARIO,ANTIOQUIA,6.136871,-75.265465,1,1,0,0,0,0,,0,2,2064.4
05736,SEGOVIA,ANTIOQUIA,7.079648,-74.701596,73,25,3989.0,278.0,1,0,,0,0,0
05756,SONSÓN,ANTIOQUIA,5.714851,-75.309596,77,12,16106.3,688.0,0,0,,0,0,0
05761,SOPETRÁN,ANTIOQUIA,6.500745,-75.747378,28,9,3668.4,0.0,0,0,,0,0,0
05789,TÁMESIS,ANTIOQUIA,5.664645,-75.714429,0,0,13313.1,0.0,0,0,,0,3,478.4
05790,TARAZÁ,ANTIOQUIA,7.580127,-75.401407,30,14,21603.5,764.0,1,0,,0,0,0
