cod_dane_mpio,nombre_mpio,nombre_dpto,score_prioridad_evidencia,nivel_prioridad,score_brecha_informacion,principales_razones,advertencias_datos,resumen_explicativo,anomaly_score_raw,anomalia_ia_percentil,es_perfil_atipico,explicacion_anomalia
05142,CARACOLÍ,ANTIOQUIA,59.67,Media,25.0,1.6% del territorio titulado (3 títulos mineros); anomalía hídrica en MERCURIO TOTAL EN SEDIMENTOS (percentil 80),sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación),Prioridad media (percentil 62): 1.6% del territorio titulado (3 títulos mineros); anomalía hídrica en MERCURIO TOTAL EN SEDIMENTOS (percentil 80).,0.5388658829037398,84.94,False,Perfil dentro del rango esperado
15798,TENZA,BOYACÁ,59.47,Media,25.0,1.4% del territorio titulado (1 títulos mineros); anomalía hídrica en HIERRO POTENCIALMENTE BIODISPONIBLE (percentil 90),sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación),Prioridad media (percentil 62): 1.4% del territorio titulado (1 títulos mineros); anomalía hídrica en HIERRO POTENCIALMENTE BIODISPONIBLE (percentil 90).,0.5092213319883313,79.68,False,Perfil dentro del rango esperado
15226,CUÍTIVA,BOYACÁ,59.46,Media,50.0,4.2% del territorio titulado (8 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 62): 4.2% del territorio titulado (8 títulos mineros); sin monitoreo hídrico evaluable.,0.37542156875274474,46.52,False,Perfil dentro del rango esperado
15238,DUITAMA,BOYACÁ,59.44,Media,50.0,2.4% del territorio titulado (10 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 62): 2.4% del territorio titulado (10 títulos mineros); sin monitoreo hídrico evaluable.,0.3815168479567739,48.75,False,Perfil dentro del rango esperado
05206,CONCEPCIÓN,ANTIOQUIA,59.25,Media,50.0,5.9% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 62): 5.9% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable.,0.3656049591849031,41.71,False,Perfil dentro del rango esperado
97666,TARAIRA,VAUPÉS,59.12,Media,50.0,0.8% del territorio titulado (2 títulos mineros); sin monitoreo hídrico evaluable; 10 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 62): 0.8% del territorio titulado (2 títulos mineros); sin monitoreo hídrico evaluable; 10 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.4286988083779045,64.8,False,Perfil dentro del rango esperado
54520,PAMPLONITA,NORTE DE SANTANDER,59.11,Media,50.0,3.8% del territorio titulado (6 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 62): 3.8% del territorio titulado (6 títulos mineros); sin monitoreo hídrico evaluable.,0.3645100694954097,41.0,False,Perfil dentro del rango esperado
23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,59.1,Media,50.0,16.9% del territorio titulado (3 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 62): 16.9% del territorio titulado (3 títulos mineros); sin monitoreo hídrico evaluable.,0.429742014942417,65.86,False,Perfil dentro del rango esperado
05034,ANDES,ANTIOQUIA,59.04,Media,50.0,4.0% del territorio titulado (6 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 61): 4.0% del territorio titulado (6 títulos mineros); sin monitoreo hídrico evaluable.,0.36461253939210136,41.09,False,Perfil dentro del rango esperado
73026,ALVARADO,TOLIMA,58.98,Media,50.0,2.4% del territorio titulado (8 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 61): 2.4% del territorio titulado (8 títulos mineros); sin monitoreo hídrico evaluable.,0.37041999322374913,44.43,False,Perfil dentro del rango esperado
