cod_dane_mpio,cod_dane_dpto,nombre_mpio,nombre_dpto,tipo_unidad_territorial,n_titulos_mineros,tiene_titulos_mineros,area_titulada_union_ha,pct_area_unidad_titulada_union,area_titulada_suma_ha,anotaciones_total,n_modalidades_distintas,n_minerales_distintos,score_presion_minera,score_senal_hidrica,n_parametros_hidricos_evaluables,principal_parametro_atipico,tiene_monitoreo_agua,n_sitios_monitoreo,ultima_observacion_agua,monitoreo_reciente,brecha_monitoreo_agua,n_registros_dtd,n_coordenadas_dtd_unicas,n_nucleos_dtd,n_registros_dtd_codigo_placeholder,tiene_dtd_reciente,score_deteccion_temprana,bosque_2024_ha,no_bosque_2024_ha,pct_bosque_2024,deforestacion_2023_2024_ha,fuente_forestal,cobertura_forestal_confirmada_mvp,disponible_mineria,disponible_agua,disponible_dtd,disponible_bosque_confirmado,n_componentes_disponibles,nivel_disponibilidad_datos,score_brecha_informacion
05113,05,BURITICÁ,ANTIOQUIA,Municipio,15,True,12830.2623013534,36.1132150231547,12830.262301353396,89,3,25,91.75,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05120,05,CÁCERES,ANTIOQUIA,Municipio,44,True,16257.984823861176,8.681181848247983,16599.683983896142,302,5,36,90.18,,,,False,0,,False,True,5,5,0,0,True,75.68,,,,,,False,True,False,True,False,2,medio,50.0
05125,05,CAICEDO,ANTIOQUIA,Municipio,0,False,0.0,0.0,0.0,0,0,0,12.11,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05129,05,CALDAS,ANTIOQUIA,Municipio,5,True,299.793831708402,2.2580746168230674,299.793831708402,40,3,13,63.83,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05134,05,CAMPAMENTO,ANTIOQUIA,Municipio,1,True,4012.982229621866,17.290984571178317,4012.982229621866,13,1,2,64.06,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05138,05,CAÑASGORDAS,ANTIOQUIA,Municipio,19,True,10019.35706906569,27.46231747661632,10019.35743913711,89,3,19,92.14,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05142,05,CARACOLÍ,ANTIOQUIA,Municipio,3,True,411.7205728945708,1.5679622811913467,411.72057289457103,12,2,1,52.46,80.32,25.0,MERCURIO TOTAL EN SEDIMENTOS,True,1,2024.0,True,False,0,0,0,0,False,42.3,,,,,,False,True,True,True,False,3,alto,25.0
05145,05,CARAMANTA,ANTIOQUIA,Municipio,9,True,2691.070584976761,29.23086034773485,2691.1442226027148,64,3,8,87.01,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05147,05,CAREPA,ANTIOQUIA,Municipio,8,True,2170.2128038177007,5.601258725062674,2179.94225456632,33,5,19,72.82,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05148,05,EL CARMEN DE VIBORAL,ANTIOQUIA,Municipio,5,True,274.1313032144708,0.6700396762686488,274.1313032144708,32,3,13,54.37,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05150,05,CAROLINA,ANTIOQUIA,Municipio,2,True,436.3659478656562,2.918567820699322,436.3659478656561,11,1,4,53.99,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05154,05,CAUCASIA,ANTIOQUIA,Municipio,24,True,14966.976306769551,10.479740290346742,14966.981215731312,136,5,38,88.68,97.0,30.0,TURBIDEZ,True,1,2023.0,True,False,0,0,0,0,False,42.3,,,,,,False,True,True,True,False,3,alto,25.0
05172,05,CHIGORODÓ,ANTIOQUIA,Municipio,8,True,1674.0206884967477,2.318647090648696,1674.0206884967474,37,3,9,66.89,,,,False,0,,False,True,5,5,0,0,True,75.68,,,,,,False,True,False,True,False,2,medio,50.0
05190,05,CISNEROS,ANTIOQUIA,Municipio,5,True,1116.366953748747,23.824996287375917,1138.841323521311,45,1,3,80.61,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05197,05,COCORNÁ,ANTIOQUIA,Municipio,4,True,453.043215368188,1.7572796835250153,453.043215368188,15,2,12,56.02,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05206,05,CONCEPCIÓN,ANTIOQUIA,Municipio,5,True,1194.9488198734496,5.916976745517464,1194.9488198734482,32,4,11,69.84,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05209,05,CONCORDIA,ANTIOQUIA,Municipio,0,False,0.0,0.0,0.0,0,0,0,12.11,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05212,05,COPACABANA,ANTIOQUIA,Municipio,12,True,466.5816810966421,6.878057461393605,475.5730717333131,65,5,15,80.37,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05234,05,DABEIBA,ANTIOQUIA,Municipio,43,True,51580.92004330544,26.34772624572087,51581.09862960332,297,3,27,96.62,,,,False,0,,False,True,9,9,0,0,True,78.05,,,,,,False,True,False,True,False,2,medio,50.0
05237,05,DONMATÍAS,ANTIOQUIA,Municipio,11,True,437.3722742839479,2.208395856952017,437.37227428394783,72,5,18,71.25,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05240,05,EBÉJICO,ANTIOQUIA,Municipio,3,True,144.68012715114006,0.6086376002741553,144.68012715114003,7,2,12,44.46,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05250,05,EL BAGRE,ANTIOQUIA,Municipio,16,True,33228.778022291706,21.315658900441782,33228.815224073514,119,4,22,90.67,,,,False,0,,False,True,149,149,0,0,True,83.66,,,,,,False,True,False,True,False,2,medio,50.0
05264,05,ENTRERRÍOS,ANTIOQUIA,Municipio,7,True,4249.442059543716,19.83602409542093,4249.442059626646,107,2,2,84.89,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05266,05,ENVIGADO,ANTIOQUIA,Municipio,2,True,125.50422113390616,1.5784657144611036,125.5042211339062,14,2,3,50.68,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05282,05,FREDONIA,ANTIOQUIA,Municipio,14,True,2209.0161031406483,8.694523503360445,2209.016103140648,74,2,21,83.4,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05284,05,FRONTINO,ANTIOQUIA,Municipio,30,True,47566.30481321415,34.35784001866001,47566.35657997692,216,2,26,96.17,,,,False,0,,False,True,58,58,0,0,True,82.85,,,,,,False,True,False,True,False,2,medio,50.0
05306,05,GIRALDO,ANTIOQUIA,Municipio,2,True,3273.411604519155,35.03882282401508,3273.411604519154,18,1,4,72.01,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
